p_26001,cntrlv_42,mflowj_24001,mflowj_34001,mflowj_44001,tempf_12101,tempf_13801
1.006009783,0.99922896,1.165479933,1.074446017,1.064346707,0.814628187,0.863109574
1.001088551,0.995220568,1.161225823,1.07889052,1.080384879,0.809668745,0.864174551
0.999409221,0.992516955,1.157072881,1.068255101,1.072077042,0.803387802,0.859322174
1.00613483,0.999125667,1.160141054,1.072258114,1.07077897,0.812898965,0.859347621
1.00918501,0.998145589,1.159088988,1.066985739,1.077660242,0.808158224,0.869547747
0.999614677,1.003021415,1.164716695,1.063678506,1.074069414,0.804616312,0.85950067
1.006176218,1.006139568,1.156493456,1.073901118,1.071247056,0.809049799,0.861926845
0.994961968,0.991076587,1.16362796,1.064883036,1.068514638,0.802851231,0.860042009
0.995803054,1.008584772,1.161055229,1.069419747,1.069896717,0.802487204,0.863761977
1.000521599,0.99885296,1.163517577,1.070374108,1.07532676,0.798475866,0.869133929
0.995630014,1.005007174,1.158806647,1.067958657,1.061594745,0.805444363,0.860375397
0.997370767,1.002089122,1.165681857,1.080397605,1.068302669,0.806736922,0.858042516
0.995658873,1.001690633,1.163834396,1.066453996,1.066113503,0.799122434,0.855805998
0.987778568,0.999693499,1.151028432,1.070081297,1.074387999,0.816818711,0.85605255
1.004160727,1.003826467,1.152697862,1.071981255,1.049320448,0.810204405,0.864559647
1.001559207,0.999898985,1.159181171,1.07607906,1.072164916,0.810003256,0.864944588
0.999095698,0.999260956,1.158084147,1.070227249,1.066867451,0.803069792,0.857723292
1.008098,1.005570374,1.168335407,1.074337776,1.069122442,0.810637041,0.853032924
0.992914837,1.003983395,1.153248439,1.070241372,1.067187647,0.805870662,0.861081119
0.998051796,1.001050239,1.161872863,1.070259216,1.067605325,0.809765595,0.871706585
1.001898659,1.00498663,1.164432928,1.065945721,1.06775168,0.813340816,0.866371685
0.995870472,0.996161459,1.164328905,1.073054975,1.06988374,0.804344551,0.859705315
1.008146833,0.992328652,1.156427513,1.070585502,1.065372465,0.812532554,0.860859553
0.991810116,1.003718957,1.160938088,1.07543318,1.068459323,0.797319695,0.85769689
1.006805735,0.991692903,1.154811267,1.061710511,1.064910873,0.813299855,0.856434869
0.995124305,0.992138462,1.160832252,1.071797616,1.066728721,0.820346031,0.859559128
0.988051552,1.005609394,1.16889817,1.063383562,1.06585077,0.811298947,0.853283039
0.997963356,0.99407604,1.165519628,1.061204452,1.065628109,0.804527807,0.872071259
1.00156736,1.006501433,1.164604717,1.066985344,1.059834743,0.803417962,0.859429155
0.991512457,1.010814654,1.168571151,1.066491309,1.0717921,0.810735323,0.85346456
1.004160362,0.994307043,1.163426991,1.067261811,1.066710412,0.813478024,0.850837858
0.9935362,0.99437374,1.154984238,1.065880334,1.067065203,0.805150087,0.870544552
0.996086437,0.998862741,1.158508781,1.0685971,1.06838563,0.806935794,0.857830382
0.996737805,0.995078832,1.158996096,1.070278169,1.060366777,0.809532049,0.861918488
0.988448908,1.002539365,1.15777991,1.066352437,1.073587523,0.799443879,0.864644373
0.995112053,1.005713094,1.158602594,1.070842949,1.069425939,0.80581317,0.855923734
1.006800038,0.999590812,1.152612862,1.079507044,1.066814279,0.809221943,0.851998215
0.999424749,0.997886315,1.156661365,1.059567114,1.074009857,0.812961802,0.858330798
0.987686432,0.996709149,1.161911451,1.069923438,1.072198237,0.80643784,0.865541201
1.002579539,0.993897031,1.159987611,1.070290832,1.067742452,0.799868113,0.858201819
1.008189996,1.002704211,1.163268464,1.067929109,1.061239792,0.812648458,0.862087035
0.99666764,1.002848725,1.155148318,1.071370465,1.0687315,0.808732612,0.859320425
0.999132825,0.996879453,1.159475339,1.066538242,1.068734234,0.813162964,0.85889785
0.998952599,1.002548659,1.159723153,1.075897281,1.060798848,0.810994333,0.861484576
0.999528983,1.000464433,1.155257864,1.059310307,1.07462782,0.814092894,0.861673714
1.0007962,0.993917656,1.150937066,1.059329074,1.063145631,0.804842548,0.859393101
1.006213269,1.001330427,1.164272724,1.075039585,1.073103212,0.80345403,0.868612477
0.994761873,0.997698728,1.16313586,1.064054078,1.070263397,0.805055178,0.853553658
1.003418641,0.999497071,1.158123293,1.065017272,1.071561236,0.809489128,0.861679458
0.994089108,0.991383488,1.16835468,1.061331098,1.068123272,0.815526899,0.857137327
0.994597992,0.998349902,1.167639632,1.061903107,1.071530034,0.810667683,0.861839869
1.004678842,1.002217534,1.16596172,1.065698332,1.062278972,0.797352129,0.864281504
0.994619097,1.001972155,1.166185938,1.070025184,1.077395581,0.806505134,0.867366784
0.995884681,1.000181038,1.148521754,1.056986579,1.070079241,0.805003811,0.855485841
0.994855165,1.001454126,1.154777972,1.066123376,1.071352867,0.807879698,0.868947455
