,F1,TT1,PT1,F2,TT2,TT3,TT4
3629,73.43151924970375,47.92152634856616,0.23531498510736998,82.5445399653591,19.374197213729477,36.153344253485784,28.18283958891834
3630,73.54949778382544,47.9057404098072,0.2358457395484826,82.58680350407037,19.375351589084172,36.09922189966005,28.153243700587872
3631,73.6681777208123,47.89058034743643,0.23636593373860665,82.62618955744077,19.3765290143553,36.046251373018166,28.124438627542347
3632,73.78710175833824,47.87611808286844,0.2368893039961069,82.6626300086436,19.377747965542046,35.994523695148075,28.096559941092245
3633,73.90586398971,47.8623883331867,0.23740189202856965,82.69605846765914,19.37900816976856,35.94401771314293,28.069461811725407
3634,74.02485168367346,47.849276108911894,0.2379037255995254,82.7265208214016,19.380309354158996,35.8947119304125,28.04316672164625
3635,74.1433294618398,47.83683382363408,0.2383948324725048,82.75378013005414,19.381651245837503,35.84664127653434,28.01775258454224
3636,74.26086743054111,47.82505815857429,0.23887524041103822,82.77782348149576,19.383033571928248,35.79976487484557,27.993184290133705
3637,74.37771392039303,47.814021687195776,0.2393449771786563,82.79886303473589,19.384456059555376,35.75409902784788,27.969520333279707
3638,74.49378461435849,47.803572424596254,0.2398040705388895,82.81666354992534,19.385880938093067,35.70958521757683,27.94672628704971
3639,74.60797765693653,47.793782861171536,0.24025254825526846,82.83126946273383,19.38736343728749,35.6662575011802,27.92478506390494
3640,74.72061862517509,47.78468745440099,0.24069043809132365,82.84278205131183,19.388884904431023,35.62409407906303,27.903660453915332
3641,74.8318893836187,47.77622728640838,0.2411177678105856,82.85113458299169,19.390445065168695,35.583054803110834,27.88352174974288
3642,74.94151972184252,47.768362034021685,0.24153456517658492,82.85637289995609,19.392043645145527,35.5430623447471,27.864239443157476
3643,75.04946773629928,47.76112711363144,0.24194085795285206,82.85843138857133,19.39368037000656,35.50443210917541,27.84581409137165
3644,75.15603397481145,47.7545943158708,0.24233667390291763,82.85730046102834,19.395354965396805,35.466860689016734,27.828301611965767
3645,75.26096023296647,47.74874227383594,0.2427220407903121,82.85302565413821,19.397067156961292,35.43049515881799,27.811664327806962
3646,75.36436258468787,47.74353079614784,0.24309698637856605,82.84559707322913,19.39881667034505,35.39527547062768,27.795958390707977
3647,75.46635787179487,47.73899424382269,0.24346153843121002,82.83750605813843,19.400603231193084,35.36132926124821,27.781125363345552
3648,75.56691325936504,47.73512962086595,0.24381572471177448,82.83186038303167,19.402407816275446,35.32855866661889,27.767164787816476
3649,75.66580768557948,47.73187835010262,0.24415957298379004,82.82964811052113,19.404248528110674,35.297052603235386,27.75401890866747
3650,75.76281935054531,47.72933103025128,0.24449311101078722,82.83394717032374,19.406143839739652,35.26671311996391,27.74179865418718
3651,75.85832601869582,47.72742915377296,0.2448163665562966,82.84749415504945,19.40807509845476,35.23755367421664,27.730463835103073
3652,75.95218299641061,47.72615163977545,0.24512936738384866,82.87310872140434,19.41004202990102,35.2095495009767,27.72002947727414
3653,76.044281158104,47.72549547885657,0.24543214125697393,82.91237897107138,19.412044359723474,35.1826951416227,27.710510762221087
3654,76.13481377940015,47.72545795355417,0.24572471593920298,82.964858597392,19.41404476043682,35.15709841064318,27.70192250391254
3655,76.22394307387017,47.72598046581837,0.2460071191940663,83.02939704058792,19.41608075485517,35.13262489303841,27.694279082122918
3656,76.31065947723735,47.727171894766215,0.24627937878509448,83.10499738832151,19.418115012511088,35.10932628593844,27.687539086549748
3657,76.39582320954294,47.72901113715141,0.246541522475818,83.18860739274642,19.4201850532366,35.08719813779076,27.681752995671754
3658,76.47933261839219,47.731419940396215,0.2467935780297675,83.27971323322132,19.42232764984279,35.066274277610866,27.676897417442238
3659,76.56093261568732,47.73445166909094,0.24703557321047342,83.37528150665106,19.42446767171104,35.04651356571777,27.67306088413107
3660,76.64123301977214,47.73804747603083,0.24726753578146635,83.47243922992472,19.426642638673346,35.02779929194924,27.670237746421
3661,76.71998324256683,47.7422985155082,0.24750209157058561,83.56834729860499,19.428852270410495,35.0101628313325,27.668498271094112
3662,76.7968125842783,47.74723946688633,0.24772641730387407,83.66254820355346,19.431096286603264,34.993693329406696,27.667706791104322
3663,76.87198770064525,47.75266170379122,0.2479405417587828,83.75404762583011,19.43337440693247,34.97829372205865,27.667875268035093
3664,76.9452913186316,47.7587309269461,0.24814449371276295,83.84248130895685,19.43568635107886,34.963942124715004,27.669015309361072
3665,77.01435781575292,47.76544475215848,0.24828086959126935,83.92698722303707,19.438068891853565,34.95056064487092,27.671120236194316
3666,77.07676100178753,47.77266872000471,0.2483297311475509,84.00738336083533,19.440483951768297,34.93831419641388,27.674126387893693
